JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2416625.8,<10.5,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416642.8,11.3,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416646.8,10.8,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416752.7,10.7,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416754.7,11.0,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416761.7,10.4,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416771.7,11.0,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416785.7,11.0,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416966.8,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417006.6,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417060.6,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417076.6,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417081.6,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417090.6,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417301.8,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417332.6,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417382.6,11.3,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417408.6,12.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417436.6,11.3,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417460.6,11.7,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417479.6,11.2,,,Vis.,CN,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417755.7,11.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417772.6,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417801.6,10.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417826.6,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417856.5,11.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418010.9,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418034.8,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418065.7,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418123.7,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418144.6,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418172.7,11.1,,,Vis.,WWW,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418214.5,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418389.8,11.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418423.7,11.3,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418457.7,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418474.7,11.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-87.  SUBMITTED BY PKV.,,,Z,,,,RS OPH,AAVSO,STD,,1912AnHar..63....1C,PKV,
