JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2447218.17,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447221.18,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447262.19,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447270.21,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447322.92,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447345.92,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447356.95,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447386.95,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447413.93,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447567.18,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447570.18,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447573.16,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447589.14,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447590.2,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447591.2,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447601.16,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447602.17,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447604.19,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447618.23,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447623.22,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447625.2,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447628.21,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447630.22,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447650.97,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447655.97,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447657.23,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447675.93,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447677.93,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447681.93,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447683.91,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447690.22,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447692.23,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447694.24,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447704.89,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447708.91,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447710.94,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447715.92,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447727.79,<12.6,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447728.86,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447733.94,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447737.93,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447744.88,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447747.91,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447757.84,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447788.9,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447798.93,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447821.91,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447832.89,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447912.22,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447926.17,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447946.18,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447948.17,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447953.18,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447964.19,<12.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
2447967.2,<12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,U,,,,V3890 SGR,,STD,,,,RASNZ
